Author,DOI,Note,FINISHED,Test type,Heating rate,Target Temperature,Cooling,Specimen age (days),Storage,oven-dried,fc range @ 20°C (MPa),Specimen shape,Specimen size (mm),Temperatures,Time after exposure,Mix design,n of mixes,w/b,Investigate parameters,Mechanical properties,Stress-strain,Load-deflection,Thermal properties,Other (1),Other (2)
Halicka et al. (2013),10.1016/j.conbuildmat.2013.06.063,"OPC, CAC, ceramic aggregate, testing after 30 days",,Residual,staged (1-5°C/min),0.5h; 4h,natural cooling,,,no,,,,,,,,,,,,,,,
Holčapek et al. (2018),10.3311/PPci.11080,CAC; superb results (25 % after 1000 °C),YES,Residual,10°C/min,3h,natural cooling,not specified,not specified,"yes, all samples",72.5,Cube (prism 160),40,"105, 200, 300, 350, 400, 500, 600, 700, 800, 900, 1000",not specified,"CAC, Metakaolin, ceramic fibres, basalt aggregate, plasticizer, water",1,x,none,"strength, flexural strength, dynamic modulus of elasticity, fracture energy",no,no,no,"bulk density, TGA",no
Hosan et al. (2015) + Shaikh,10.14264/uql.2016.545,GP,,Residual,5°C/min,1h,not specified,not specified,24h@70°C then at ambient temp.,no,28-55,Cube,50 mm,"20, 200, 400, 600, 800",not specified,"Na2SiO3, NaOH, FA oraz K2SiO2, KOH, FA",,x,activators,fc,no,no,,,
Jackiewicz-Rek et al. (2016),10.1515/ace-2015-0109,HPC: aeration,,Residual,ISO,until SS,,,,,,,,,,,,,,,,,,,
Kong & Sanjayan (2010),10.1016/j.cemconres.2009.10.017,size & shape effect; geopolymer,,Residual,4.4°C/min,1h,,3 days,24h@20°C -> 24h 80°CRH93% -> 24h until tests,no,44.1-72.4,Cube; Cylinder,cube 25; cylinder 35x70 & 100x200,"20, 800",<24h,Various materials,,Various,,,,,,,
Li et al. 2017 ,10.1016/j.conbuildmat.2017.09.125,,,Residual,5°C/min,2h,,Nieprecyzyjne. 28?,,24h,,Cube,70.7,"200, 400, 600, 800",,"OPC, FA, quartz sand, PVA fiber, water",,,"w/b, sand/b, FAC, PVA, SP content","fc, ft",,,"THC, SH",density,N/A
Liang et al. (2018),10.1016/j.conbuildmat.2018.05.241,,,Residual,4°C/min,2h,door opened,31,"moulds 24h -> 24h @ hot water 90°C  -> 28d @ ""standard curing conditions"" -> o-v 24h@90°C",24h@90°C,90-187.5,Cube,50,"20, 200, 400, 600, 800, 1000",not specified,"OPC, SF, FA, quartz sand, steel slag, steel fibre, PP fibre, water",,0.17,"aggregate, fibres type","fc, Young",YES,no,N/A,"SEM, surface photos",spalling observations; additional heating rates: 1 & 8°C/min - only to investigate spalling; w/b originally given without considering SP as 0.16
Liu & Tan 2017,10.1016/j.conbuildmat.2016.12.204,,,Residual,10°C/min,2h,,30,"1d water, 6d sealed, 21d lab. cond.",no,,Cube,50,"200, 400, 600, 800",,"OPC, FA, silica sand, water, PVA fiber, steel fiber, SP",,,spalling: mortar & SHCC,"fc, ft",,,density,SEM,"spalling (1D HT, 200x200x140), The sizes of silica sand range from 120 to 150 mesh (106–120 μm)"
Malhotra (1956),10.1680/macr.1956.8.23.85,,,,,,,,,,,,,,,,,,,,,,,,
Mendes et al. (2008),10.1617/s11527-007-9247-8,"CP with slag (0, 35, 50, 65%)",,Residual,,,,,,,,,,,,,,,,,,,,,
Netinger et al. (2011),10.1016/j.firesaf.2011.07.002,aggregates,YES,Residual,preheated furnace,1.5h,cooled at room temp.,28,moulds 24h -> 27d water @20°C,no,26-47,Cube (prism 160),40,"20, 200, 400, 600, 800, 1000",not specified,"aggregates: river, slag (2) diabese, crushed brick, crushed tile, dolomite, OPC, water",7,0.5,aggregates,"fc, bending",no,no,no,no,no
Netinger et al. (2013),10.1016/j.proeng.2013.08.121,steel slag,YES,Residual,1°C/min,1h,natural cooling,56,moulds 24h -> 7d water -> 20d 20°C@RH95 -> 28d lab. cond.,no,59-81,Cube,100,"20, 400, 800",not specified,"OPC, water, SP, dolomite, slag (2)",5,0.43,slags,"fc, E",no,no,no,"density, UPV, dilatometry, SEM",no
Phan & Carion (2002),10.14359/11317,Residual vs. Hot (un- and pre-loaded),,Residual; Hot; Hot_Stressed,,,,,,,49-101,,,,,,,,,,,,,,
Rios et al. 2018,10.1061/(ASCE)MT.1943-5533.0002491,,,Residual; Hot,10°C/min,"6h, 24h, 48h",cooled at room temp.,Nieprecyzyjne. 28?,28d water,not specified,75-85,Cube,50,"100, 300, 500, 700",Hot or 24h,"PC (B-L), silica sand, limestone aggregate <4mm, silica coarse aggregate <10 mm, SF, SP, PP fiber",,,"fibre (no, 6mm, 24mm); exposure time (6, 24, 48h)","fc, ft, Gf",no,YES,N/A,"TGA (concrete and PP fiber), DSC (of PP fiber)","ft (cylinder 100x200), Gf (50x50x220); characteristic length"
Sitarz et al. (2018),10.1051/matecconf/201816306004,geopolymer,YES,Residual,1°C/min,not specified,not specified,28d,CEM: 7d woda i 21d air-dry conditions; GP: 24h 70°C i 27d air-dry conditions,no,"CEM: 52, GP: 20",Cube (prism 160),40,"20, 200, 400, 600, 800",not specified,"OPC, sand, water, Na2SiO3, NaOH, fly ash, plasticiser",,"CEM: 0.5, GP: x",CEM vs. GP,"fc, bending",no,no,no,"IMAGES: cracked CEM, uncracked GP",no
Shi et al. (2002),10.1061/(ASCE)0733-9445(2002)128:12(1511),"review °C->MPa, MPa->°C,  MPa->°C->MPa",,Hot,no specified,N/A,N/A,60,7d 20°C RH100 -> laboratory conditions,not specified,32.6,Prism,100x100x300,"20, 200, 300, 350, 400, 500, 600, 700, 800",N/A,"OPC, river sand, limestone aggregate <15mm, water",,0.617,Temperature,fc,yes,no,no,no,"temperature-flow mapping, review of stress-temperature path influence on fc and ε"
Sobia et al. (2015),10.1680/macr.14.00134,"HAC, PP or basalt fibres",YES,Residual,5°C/min,1h,1°C/min,28 or 56,28 or 56 days in water + 1 day in air,no,50-80,Cube (prism 160),40,"20, 400, 700, 1000",not specified,"HAC, GGBS, PP fibre, basalt fibre, sand, water",,0.38,Fibre type and content,"fc, bending",no,no,density,"SEM, XRD, DSC",no
Szymkuć et al. (2018),None,cenosphere,YES,Residual,6 °C/min,1h,natural cooling,180,moulds 24h -> 27d water -> 5 months lab. cond.,7d,53,Cube (prism 160),40,"20, 105, 400, 600, 700, 800, 1000",24h,"OPC, cenosphere, SP, water",1,0.30,none,fc,no,no,"THC, SH","density, SEM, DSC",SH with DSC and TPS; study of structural implications (as a filling of CFT columns)
Vejmelková et al. (2018),10.1016/j.conbuildmat.2018.01.076,świetne wyniki; CAC CP + 4 betony,YES,Residual,0.5°C/min,3h,natural cooling,28,"cured in laboratory conditions, 20°C, RH25-30%",24h,84.4-103.6,Cube (prism 160),40,"20, 400, 1000",not specified,"CAC, Basalt aggregates 0-5, Basalt fibres, SP, water",,0.27,Content of basalt fibres; +CAC paste,"fc, bending",no,no,"THC, SH","XRD, open porosity, matrix density, bulk density, FTS, Adsorption isotherms, pore size distribution","strength gain at room temp.; Cubes 70 for thermal characteristics, prisms 15x15x60 for thermal strain"
Zegardło et al. (2018),10.1016/j.conbuildmat.2018.04.030,ISO fire,YES,Residual,ISO,6h,natural cooling,,moulds 24h -> 27d water -> 30d 20°C@RH50%,no,39-85,Cylinder,100x200,"20, 1000",24h,"CAC, aggregate, water, PP, aeration agent",6,0.40-0.63,"aggregate, PP, aeration, conditions: dry, medium-wet and wet",fc,no,no,no,"density, SEM",no
Zhang et al. (2016),10.1016/j.conbuildmat.2016.01.043,GP,YES,Residual,5°C/min,1h,natural cooling,7,6d in cabinet 22°C@RH95 -> 1d lab. cond.,no,34-49,Cube (prism 160),40,"20, 100, 300, 500, 700",not specified,"metakaolin, fla ash, OPC, aggregate",3,x,mix,"fc, bending",no,no,no,"bond strength, TGA, DSC, thermal expansion",no
